Location,Year,Value,rural pop,urban pop,electric_rural,Value_class
AUS,1960,180212.25889755905,18.471,81.529,33287.00634096813,Medium
AUS,1961,180212.25889755905,18.059,81.941,32544.53183431019,Medium
AUS,1962,180212.25889755905,17.772,82.22800000000001,32027.322651274197,Medium
AUS,1963,180212.25889755905,17.489,82.511,31517.321958594104,Medium
AUS,1964,180212.25889755905,17.208,82.792,31010.92551109196,Medium
AUS,1965,180212.25889755905,16.932,83.068,30513.539676534696,Medium
AUS,1966,180212.25889755905,16.66,83.34,30023.362332333338,Medium
AUS,1967,180212.25889755905,16.493,83.507,29722.407859974413,Medium
AUS,1968,180212.25889755905,16.328,83.672,29425.05763279344,Medium
AUS,1969,180212.25889755905,16.164,83.836,29129.509528201444,Medium
AUS,1970,180212.25889755905,16.001,83.999,28835.763546198425,Medium
AUS,1971,180212.25889755905,15.84,84.16,28545.62180937335,Medium
AUS,1972,180212.25889755905,15.68,84.32,28257.282195137257,Medium
AUS,1973,180212.25889755905,15.522,84.478,27972.546826079117,Medium
AUS,1974,180212.25889755905,15.364,84.636,27687.811457020973,Medium
AUS,1975,180212.25889755905,15.208,84.792,27406.68033314078,Medium
AUS,1976,180212.25889755905,15.053,84.947,27127.351331849564,Medium
AUS,1977,180212.25889755905,14.9,85.1,26851.626575736296,Medium
AUS,1978,180212.25889755905,14.748,85.252,26577.703942212007,Medium
AUS,1979,180212.25889755905,14.597,85.403,26305.583431276693,Medium
AUS,1980,180212.25889755905,14.448,85.55199999999999,26037.06716551933,Medium
AUS,1981,180212.25889755905,14.3,85.7,25770.353022350948,Medium
AUS,1982,180212.25889755905,14.33,85.67,25824.41670002021,Medium
AUS,1983,180212.25889755905,14.359,85.641,25876.6782551005,Medium
AUS,1984,180212.25889755905,14.389,85.611,25930.741932769768,Medium
AUS,1985,180212.25889755905,14.418,85.582,25983.003487850063,Medium
AUS,1986,180212.25889755905,14.448,85.55199999999999,26037.06716551933,Medium
AUS,1987,180212.25889755905,14.478,85.522,26091.1308431886,Medium
AUS,1988,180212.25889755905,14.507,85.493,26143.39239826889,Medium
AUS,1989,180212.25889755905,14.537,85.463,26197.45607593816,Medium
AUS,1990,180212.25889755905,14.567,85.43299999999999,26251.519753607427,Medium
AUS,1991,180212.25889755905,14.597,85.403,26305.583431276693,Medium
AUS,1992,180212.25889755905,14.715,85.285,26518.23389677581,Medium
AUS,1993,180212.25889755905,14.843,85.157,26748.90558816469,Medium
AUS,1994,180212.25889755905,14.972,85.028,26981.37940214254,Medium
AUS,1995,180212.25889755905,15.102,84.898,27215.65533870937,Medium
AUS,1996,180212.25889755905,15.233,84.767,27451.73339786517,Medium
AUS,1997,180212.25889755905,15.364,84.636,27687.811457020973,Medium
AUS,1998,180212.25889755905,15.497,84.503,27927.493761354726,Medium
AUS,1999,180212.25889755905,15.63,84.37,28167.17606568848,Medium
AUS,2000,180212.25889755905,15.765,84.235,28410.462615200187,Medium
AUS,2001,180212.25889755905,15.9,84.1,28653.749164711888,Medium
AUS,2002,180212.25889755905,15.778,84.222,28433.89020885687,Medium
AUS,2003,180212.25889755905,15.657,84.343,28215.833375590817,Medium
AUS,2004,180212.25889755905,15.537,84.463,27999.57866491375,Medium
AUS,2005,180212.25889755905,15.418,84.582,27785.12607682565,Medium
AUS,2006,180212.25889755905,15.3,84.7,27572.47561132653,Medium
AUS,2007,180212.25889755905,15.178,84.822,27352.616655471516,Medium
AUS,2008,180212.25889755905,15.057,84.943,27134.55982220547,Medium
AUS,2009,180212.25889755905,14.937,85.063,26918.3051115284,Medium
AUS,2010,180212.25889755905,14.818,85.182,26703.852523440302,Medium
AUS,2011,180212.25889755905,14.7,85.3,26491.20205794118,Medium
AUS,2012,180212.25889755905,14.598,85.402,26307.385553865668,Medium
AUS,2013,180212.25889755905,14.498,85.502,26127.17329496811,Medium
AUS,2014,180212.25889755905,14.398,85.602,25946.961036070552,Medium
AUS,2015,105209.8117405583,14.299,85.701,15043.950980782432,Medium
AUS,1960,180212.25889755905,18.471,81.529,33287.00634096813,Medium
AUS,1961,180212.25889755905,18.059,81.941,32544.53183431019,Medium
AUS,1962,180212.25889755905,17.772,82.22800000000001,32027.322651274197,Medium
AUS,1963,180212.25889755905,17.489,82.511,31517.321958594104,Medium
AUS,1964,180212.25889755905,17.208,82.792,31010.92551109196,Medium
AUS,1965,180212.25889755905,16.932,83.068,30513.539676534696,Medium
AUS,1966,180212.25889755905,16.66,83.34,30023.362332333338,Medium
AUS,1967,180212.25889755905,16.493,83.507,29722.407859974413,Medium
AUS,1968,180212.25889755905,16.328,83.672,29425.05763279344,Medium
AUS,1969,180212.25889755905,16.164,83.836,29129.509528201444,Medium
AUS,1970,180212.25889755905,16.001,83.999,28835.763546198425,Medium
AUS,1971,180212.25889755905,15.84,84.16,28545.62180937335,Medium
AUS,1972,180212.25889755905,15.68,84.32,28257.282195137257,Medium
AUS,1973,180212.25889755905,15.522,84.478,27972.546826079117,Medium
AUS,1974,67938.0,15.364,84.636,10437.99432,Medium
AUS,1975,71823.0,15.208,84.792,10922.84184,Medium
AUS,1976,74710.0,15.053,84.947,11246.0963,Medium
AUS,1977,80257.0,14.9,85.1,11958.293,Medium
AUS,1978,83436.0,14.748,85.252,12305.14128,Medium
AUS,1979,88152.0,14.597,85.403,12867.547439999998,Medium
AUS,1980,92468.0,14.448,85.55199999999999,13359.77664,Medium
AUS,1981,99217.0,14.3,85.7,14188.031,Medium
AUS,1982,99929.0,14.33,85.67,14319.8257,Medium
AUS,1983,100625.0,14.359,85.641,14448.74375,Medium
AUS,1984,106374.0,14.389,85.611,15306.15486,Medium
AUS,1985,114295.0,14.418,85.582,16479.0531,Medium
AUS,1986,119102.0,14.448,85.55199999999999,17207.85696,Medium
AUS,1987,125291.0,14.478,85.522,18139.63098,Medium
AUS,1988,131163.0,14.507,85.493,19027.81641,Medium
AUS,1989,139174.0,14.537,85.463,20231.72438,Medium
AUS,1990,144926.0,14.567,85.43299999999999,21111.37042,Medium
AUS,1991,147121.0,14.597,85.403,21475.25237,Medium
AUS,1992,149306.0,14.715,85.285,21970.3779,Medium
AUS,1993,153420.0,14.843,85.157,22772.1306,Medium
AUS,1994,157232.0,14.972,85.028,23540.77504,Medium
AUS,1995,162402.0,15.102,84.898,24525.950040000003,Medium
AUS,1996,166640.0,15.233,84.767,25384.2712,Medium
AUS,1997,171912.0,15.364,84.636,26412.55968,Medium
AUS,1998,183015.0,15.497,84.503,28361.83455,High
AUS,1999,190064.0,15.63,84.37,29707.0032,High
AUS,2000,195402.0,15.765,84.235,30805.125300000003,High
AUS,2001,206772.0,15.9,84.1,32876.748,High
AUS,2002,213004.0,15.778,84.222,33607.77112,High
AUS,2003,208673.0,15.657,84.343,32671.93161,High
AUS,2004,215985.0,15.537,84.463,33557.58945,High
AUS,2005,214526.0,15.418,84.582,33075.61868,High
AUS,2006,218390.0,15.3,84.7,33413.67,High
AUS,2007,227066.0,15.178,84.822,34464.07748,High
AUS,2008,228073.0,15.057,84.943,34340.951610000004,High
AUS,2009,232142.0,14.937,85.063,34675.050540000004,High
AUS,2010,237420.0,14.818,85.182,35180.8956,High
AUS,2011,240877.0,14.7,85.3,35408.918999999994,High
AUS,2012,236814.0,14.598,85.402,34570.10772,High
AUS,2013,235872.0,14.498,85.502,34196.72256,High
AUS,2014,233468.0,14.398,85.602,33614.72264,High
AUS,2015,105209.8117405583,14.299,85.701,15043.950980782432,Medium
AUT,1960,180212.25889755905,35.28,64.72,63578.88493905883,Medium
AUT,1961,180212.25889755905,35.186,64.814,63409.485415695126,Medium
AUT,1962,180212.25889755905,35.137,64.863,63321.18140883533,Medium
AUT,1963,180212.25889755905,35.087,64.913,63231.07527938655,Medium
AUT,1964,180212.25889755905,35.038,64.962,63142.771272526734,Medium
AUT,1965,180212.25889755905,34.989,65.011,63054.46726566693,Medium
AUT,1966,180212.25889755905,34.939,65.061,62964.36113621816,Medium
AUT,1967,180212.25889755905,34.89,65.11,62876.05712935835,Medium
AUT,1968,180212.25889755905,34.841,65.15899999999999,62787.75312249855,Medium
AUT,1969,180212.25889755905,34.792,65.208,62699.449115638745,Medium
AUT,1970,180212.25889755905,34.742,65.25800000000001,62609.34298618996,Medium
AUT,1971,180212.25889755905,34.699,65.301,62531.85171486401,Medium
AUT,1972,180212.25889755905,34.689,65.311,62513.83048897425,Medium
AUT,1973,180212.25889755905,34.679,65.321,62495.80926308451,Medium
AUT,1974,180212.25889755905,34.669,65.331,62477.78803719474,Medium
AUT,1975,180212.25889755905,34.659,65.34100000000001,62459.766811305,Medium
AUT,1976,180212.25889755905,34.649,65.351,62441.74558541524,Medium
AUT,1977,180212.25889755905,34.639,65.36099999999999,62423.72435952549,Medium
AUT,1978,180212.25889755905,34.629,65.37100000000001,62405.70313363572,Medium
AUT,1979,180212.25889755905,34.619,65.381,62387.681907745966,Medium
AUT,1980,180212.25889755905,34.609,65.39099999999999,62369.66068185621,Medium
AUT,1981,180212.25889755905,34.636,65.364,62418.31799175855,Medium
AUT,1982,180212.25889755905,34.9,65.1,62894.0783552481,Medium
AUT,1983,180212.25889755905,35.164,64.836,63369.83871873767,Medium
AUT,1984,180212.25889755905,35.43,64.57,63849.20332740517,Medium
AUT,1985,180212.25889755905,35.695,64.305,64326.7658134837,Medium
AUT,1986,180212.25889755905,35.963,64.037,64809.73466732916,Medium
AUT,1987,180212.25889755905,36.231,63.769,65292.70352117462,Medium
AUT,1988,180212.25889755905,36.5,63.5,65777.47449760904,Medium
AUT,1989,180212.25889755905,36.769,63.231,66262.24547404348,Medium
AUT,1990,180212.25889755905,37.04,62.96,66750.62069565587,Medium
AUT,1991,180212.25889755905,37.311,62.689,67238.99591726826,Medium
AUT,1992,180212.25889755905,37.583,62.417,67729.17326146962,Medium
AUT,1993,180212.25889755905,37.856,62.144,68221.15272825996,Medium
AUT,1994,180212.25889755905,38.13,61.87,68714.93431763927,Medium
AUT,1995,180212.25889755905,38.404,61.596,69208.71590701859,Medium
AUT,1996,180212.25889755905,38.68,61.32,69706.10174157584,Medium
AUT,1997,180212.25889755905,38.955,61.045,70201.68545354412,Medium
AUT,1998,180212.25889755905,39.232,60.768,70700.87341069037,Medium
AUT,1999,180212.25889755905,39.509,60.491,71200.0613678366,Medium
AUT,2000,180212.25889755905,39.787,60.213,71701.05144757182,Medium
